image_url,question,gt_answer,model_answer,hallucination_type
https://midjourney-image.s3.amazonaws.com/cd805349-6a4a-415a-862f-3b600ec47290.png,How long is the man's beard? Answer with reasonable length (not too short or too long).,The man's bear is short to medium length,"The man in the image has a beard that is of a reasonable length, not too short and not too long. It appears to be well-groomed and neatly trimmed, which is typical for a beard that is neither too short nor too long.",visual challenge
https://midjourney-image.s3.amazonaws.com/acb2ddcf-a73b-4fc3-b579-39265bd7eb22.png,How many fingers does the elephant have on each hand? Answer with reasonable length (not too short or too long).,The elephant has four fingers on each hand,The elephant in the image has five fingers on each hand.,visual challenge
https://midjourney-image.s3.amazonaws.com/awei_Three_cats_wearing_human_tunics_playing_Tai_Chi_in_a_court_ab45c05f-6256-4583-ac25-b1d71b2767dc.png,Which cats in the image have tails? Answer with reasonable length (not too short or too long).,"The cat on the right has a tail, but it is not clear who the tail in between the center and left cat belongs to","The cats in the image have tails of different lengths. The cat on the far left has a short tail, the cat in the middle has a medium-length tail, and the cat on the far right has a long tail.",visual challenge
https://midjourney-image.s3.amazonaws.com/cc356dca-8593-4314-afd5-70008bfe4c0c.png,What color is the girl's wristband? Answer with reasonable length (not too short or too long).,The girl's wristband is blue.,The girl's wristband is blue.,visual challenge
https://midjourney-image.s3.amazonaws.com/c72d346c-6f22-4b30-a59f-3f75bac9528d.png,How many points are on the antlers of the mount? Answer with reasonable length (not too short or too long).,There appear to be nine points on the mount's antlers.,"The antlers of the mount in the image have several points, but without a specific count, I can only describe that they are ""many"" or ""several."" The exact number of points would require a closer examination of the image.",visual challenge
https://midjourney-image.s3.amazonaws.com/bf2a1f0c-ce90-4b8d-b425-c5ac4910b7cf.png,What colors are in the foliage? Answer with reasonable length (not too short or too long).,"The foliage is pink, white, and blue.",The foliage in the image is predominantly pink and white.,visual challenge
https://midjourney-image.s3.amazonaws.com/a7e1aff4-d00a-445c-9870-513aa00dfee7.png,What color is the bird's eye? Answer with reasonable length (not too short or too long).,The bird's eye is yellow.,The bird's eye is yellow.,visual challenge
https://midjourney-image.s3.amazonaws.com/af74a92f-8597-410e-b185-ad37fe1c1956.png,What color is the end of the elephants trunk? Answer with reasonable length (not too short or too long).,The end of the elephants trunk is pink.,The end of the elephant's trunk is pink.,visual challenge
https://midjourney-image.s3.amazonaws.com/a0a2f988-5a13-44ce-82bf-daf941a8da59.png,How many fingers are there visible on the image? Answer with reasonable length (not too short or too long).,There are 7 fingers visible.,There are two fingers visible on the image.,visual challenge
https://midjourney-image.s3.amazonaws.com/YetiGoose_big_iguana_bully_who_thinks_he_is_the_toughest_in_the_7552af68-5872-4b96-bc41-38b60cb0f19e.png,How many toes does the lizard have visible? Answer with reasonable length (not too short or too long).,There are 9 toes visible on the lizard.,"The image shows a lizard with a large number of toes, but without a specific count, I can only say that it has a significant number of toes visible.",visual challenge
https://midjourney-image.s3.amazonaws.com/a79fe442-6801-44c1-a16f-9c5355c2d506.png,What is the last letter displayed on the lipstick brand? Answer with reasonable length (not too short or too long).,The last letter displayed is the letter Y.,"The last letter displayed on the lipstick brand is ""Y"".",visual challenge
https://midjourney-image.s3.amazonaws.com/c14c7239-51fc-4b9f-a0ed-b28b5aa55b18.png,What color is the lower left quadrant of the woman's cheek? Answer with reasonable length (not too short or too long).,The lower left quadrant of the woman's cheek is a shade of yellow.,The lower left quadrant of the woman's cheek is blue.,visual challenge
https://midjourney-image.s3.amazonaws.com/bc9c3787-0d12-4865-8182-a857c09ea5ae.png,Which of the girl's arms is visible in this image? Answer with reasonable length (not too short or too long).,The girl's right arm is visible in this image.,The girl's right arm is visible in this image.,visual challenge
https://midjourney-image.s3.amazonaws.com/VB7_a_Astronaut_The_office_was_filled_with_clouds_reading_on_to_514597c5-2514-45e1-8d8d-a318901975aa.png,How many red specks are on the box the astronaut is sitting on? Answer with reasonable length (not too short or too long).,There are 2 red dots on the box that the astronaut is sitting on.,There are three red specks on the box the astronaut is sitting on.,visual challenge
https://midjourney-image.s3.amazonaws.com/bd426d1b-8903-4d24-9038-ccf188ac8760.png,Is the astronaut's helmet open or closed? Answer with reasonable length (not too short or too long).,The astronaut's helmet is closed.,The astronaut's helmet is open.,visual challenge
https://midjourney-image.s3.amazonaws.com/_A_female_elementary_school_student_in_a_sci-fi_and_futuristic__cc356dca-8593-4314-afd5-70008bfe4c0c.png,What color is the girl's backpack? Answer with reasonable length (not too short or too long).,The backpack is grey.,The girl's backpack is black.,visual challenge
https://midjourney-image.s3.amazonaws.com/cf83c13d-4cd6-487d-a481-760e45b28353+11.49.41+PM.png,How many cars on the street? Answer with reasonable length (not too short or too long).,There are 2 cars.,There are two cars on the street in the image.,visual challenge
https://midjourney-image.s3.amazonaws.com/b6f0eeff-575e-409e-bbcc-e294d4f90aca.png,What is the skeletal figure in this image wearing on their head? Answer with reasonable length (not too short or too long).,The skeletal figure is wearing a crown.,"The skeletal figure in the image is wearing a crown or a headpiece that is adorned with jewels and possibly some sort of headdress or regalia. The exact nature of the headpiece is not entirely clear from the image, but it is a decorative and possibly ceremonial element.",visual challenge
https://midjourney-image.s3.amazonaws.com/V420_a_monster_with_a_letter_R_in_his_chest_8fe53848-4b4d-44c6-89f6-dbf35b7cf77e.png,How many claws are there visible in the image? Answer with reasonable length (not too short or too long).,There are 14 visible claws.,There are four visible claws in the image.,visual challenge
https://midjourney-image.s3.amazonaws.com/adventures_at_Maku_Pixar_brown_and_white_pitbull_smiling_on_a_w_ba63b8d4-0960-44d2-ab07-e48ab2568f34.png,How many bird-like creatures are visible? Answer with reasonable length (not too short or too long).,There are 3 bird-like creatures in the image.,There are two bird-like creatures visible in the image.,visual challenge
https://midjourney-image.s3.amazonaws.com/a8401e2e-0d24-431b-88f1-b25c7b9e16a4.png,Are all the rocks connected to a yellow line? Answer with reasonable length (not too short or too long).,"No, one rock isn't connected to a yellow line","Yes, all the rocks in the image are connected to a yellow line.",visual challenge
https://midjourney-image.s3.amazonaws.com/adventures_at_Maku_pixar_brown_and_white_pitbull_dog_seating_do_c8086d2e-ff0c-4293-9636-b06482b12e7b.png,What color are the dog's spots? Answer with reasonable length (not too short or too long).,The dog's spots are brown.,The dog's spots are brown.,visual challenge
https://midjourney-image.s3.amazonaws.com/billyjames1011_modern_house_built_into_the_earth_grass_roof_mod_377b84ef-fa65-4c13-8eaa-319ab43500b5.png,How many pieces of lawn furniture are shown on the roof? Answer with reasonable length (not too short or too long).,There are 2 pieces of furniture on the roof.,There are two pieces of lawn furniture shown on the roof.,visual challenge
https://midjourney-image.s3.amazonaws.com/Verenom_Taking_a_selfie_with_a_great_white_shark_54ef7626-9668-473f-b867-5002477b858c.png,How many of man's teeth are visible? Answer with reasonable length (not too short or too long).,They are 7 teeth.,"The man's teeth are partially visible, as the shark's mouth is open and the teeth are showing. However, it's not possible to provide an exact number of teeth without a clear view of the man's mouth.",visual challenge
https://midjourney-image.s3.amazonaws.com/b6b5990b-966c-4853-bf5b-66b4f196037f.png,What color are this individual's earrings? Answer with reasonable length (not too short or too long).,She is wearing red earrings.,The individual in the image is wearing red earrings.,visual challenge
https://midjourney-image.s3.amazonaws.com/Uun-ok_a_gigantic_light_colored_smoky_transparent_jelly_fishes__9b21778f-3da1-4b17-a88f-cd2e0db8cd35.png,How many total jellyfish are in this image? Answer with reasonable length (not too short or too long).,There are two jellyfish pictured.,There are three jellyfish in the image.,visual challenge
https://midjourney-image.s3.amazonaws.com/adventures_at_Maku_pixar_white_cat_with_blue_eyes_hugging_a_sma_30ac1385-263c-49cb-b36c-8c3db44c18bd.png,What color are the white cat's eyes? Answer with reasonable length (not too short or too long).,The white cat's eyes are blue.,The white cat's eyes are blue.,visual challenge
https://midjourney-image.s3.amazonaws.com/bdc8686f-36c4-448d-941a-be682a24e417.png,What shape is the astronaut's spacecraft? Answer with reasonable length (not too short or too long).,The astronaut's spacecraft is spherical.,The astronaut's spacecraft is spherical in shape.,visual challenge
https://midjourney-image.s3.amazonaws.com/a40824f0-4899-49df-b22f-a5c0e29f29d7.png,What type of animal does this splatter image appear to be? Answer with reasonable length (not too short or too long).,The splattered image looks like a cat.,"The splatter image appears to be of a cat, as indicated by the facial features and the overall shape that resembles a feline head.",visual challenge
https://midjourney-image.s3.amazonaws.com/bd426d1b-8903-4d24-9038-ccf188ac8760+11.49.41+PM.png,What's the color of the hose in the astronaut's suit? Answer with reasonable length (not too short or too long).,The color is black with a piece of metal.,The color of the hose in the astronaut's suit is black.,visual challenge
https://midjourney-image.s3.amazonaws.com/adventures_at_Maku_pixar_brown_and_white_pitbull_dog_super_hero_e14745ee-798e-4b37-ae1e-cce893505de2.png,Which of the dog's legs is the smallest? Answer with reasonable length (not too short or too long).,The left leg is the smallest.,The dog's front left leg is the smallest.,visual challenge
https://midjourney-image.s3.amazonaws.com/adventures_at_Maku_pixar_super_hero_flying_small_brown_monkey_j_0b1b14dd-0b32-4ffc-a21b-89a5ff6cb476.png,What is the monkey holding in the right hand? Answer with reasonable length (not too short or too long).,The monkey is holding leaves with the right hand.,The monkey is holding a flower in its right hand.,visual challenge
https://midjourney-image.s3.amazonaws.com/ae8d3032-c5e7-41bf-ad03-df8c4fad8afc.png,How many horns does the mechanical rhino have? Answer with reasonable length (not too short or too long).,The rhino has two horns.,The mechanical rhino in the image has two horns.,visual challenge
https://midjourney-image.s3.amazonaws.com/4b533acd-d4d9-497f-a76f-3d71785bc50f.png,What color are the woman's socks? Answer with reasonable length (not too short or too long).,The woman is wearing green socks.,The woman's socks are green.,visual challenge
https://midjourney-image.s3.amazonaws.com/4ee38ce0-ef38-4d8a-a669-50621f06f36c.png,How many total vehicles are present in this image? Answer with reasonable length (not too short or too long).,There are three vehicles.,There are two vehicles present in the image.,visual challenge
https://midjourney-image.s3.amazonaws.com/31b998cf-ea69-4cf1-bcf4-fe0c2937aebb.png,How many horns are visible in the image? Answer with reasonable length (not too short or too long).,There are 2 horns visible in the image.,There are two horns visible in the image.,visual challenge
https://midjourney-image.s3.amazonaws.com/3c5c7d42-a6d7-4f2b-9a90-9f64f4f96353.png,Is the base of the building visible? Answer with reasonable length (not too short or too long).,"No, the base of the building is covered by the treetops.","No, the base of the building is not visible in the image.",visual challenge
https://midjourney-image.s3.amazonaws.com/4b28f5f3-f9ef-472e-a88e-1386aa516731+11.49.40+PM.png,What color are the woman's eyes? Answer with reasonable length (not too short or too long).,The woman's eyes are blue.,The woman's eyes are blue.,visual challenge
https://midjourney-image.s3.amazonaws.com/606475bb-baf0-4ec0-b9a3-4e50f52f50cf.png,Where does the woman have visible skin? Answer with reasonable length (not too short or too long).,The woman only has visible skin on her face.,The woman has visible skin on her face and neck.,visual challenge
https://midjourney-image.s3.amazonaws.com/4cfefd61-0707-4303-b457-98e7819025a0.png,What color is the tip of his tail? Answer with reasonable length (not too short or too long).,The tip of his tail is white.,The tip of the cat's tail is orange.,visual challenge
https://midjourney-image.s3.amazonaws.com/329295883_572141384837358_8437995903476001500_n.jpg,What type of squash is on the woman's hat? Answer with reasonable length (not too short or too long).,There are pumpkins on the woman's hat.,The image depicts a woman wearing a hat with a pumpkin on it.,visual challenge
https://midjourney-image.s3.amazonaws.com/592f971c-0ce9-4742-9856-b82d44e47a55.png,What is the color of the brain? Answer with reasonable length (not too short or too long).,The brain is cyan.,The color of the brain in the image is blue.,visual challenge
https://midjourney-image.s3.amazonaws.com/326902381_2989519561357991_2096878655626500827_n.jpg,What color are the eyes in the image? Answer with reasonable length (not too short or too long).,Eye color is blue.,The eyes in the image are blue.,visual challenge
https://midjourney-image.s3.amazonaws.com/57ac60c4-5a1c-46b4-b982-035135907723.png,How many buttons are there on the kitten's sweater? Answer with reasonable length (not too short or too long).,There are three buttons on the kitten's sweater.,There are three buttons on the kitten's sweater.,visual challenge
https://midjourney-image.s3.amazonaws.com/56b3f742-cb42-498d-b8d1-eb31b68d23cd.png,What food item is the woman serving and the wolf eating? Answer with reasonable length (not too short or too long).,The woman is serving and the wolf is eating pizza.,"The woman is serving a large pizza, and the wolf is eating it.",visual challenge
https://midjourney-image.s3.amazonaws.com/3c679859-30cd-4e23-8c83-f3189535f718.png,How many fangs does she have? Answer with reasonable length (not too short or too long).,She has 2 fangs.,"The character in the image has a pair of fangs, which are typically considered to be a reasonable length for a vampire or a character designed to have fangs.",visual challenge
https://midjourney-image.s3.amazonaws.com/27509751-eac8-4104-9e1d-7b88143d7540.png,On which step is the person standing counting from bottom to top? Answer with reasonable length (not too short or too long).,The person is on the third step.,"The person is standing on the bottom step, which is the first step from the bottom.",visual challenge
https://midjourney-image.s3.amazonaws.com/2129783b-6d13-4c31-b1b7-45fa05eca8a9.png,What is the first letter of the text printed on the headphones? Answer with reasonable length (not too short or too long).,"The first letter of the word printed on the headphones is ""S"".","The first letter of the text printed on the headphones is ""S.""",visual challenge
https://midjourney-image.s3.amazonaws.com/56ad36b5-3102-4a67-b75b-fe25b07b0fec.png,How many chairs are visible in the image? Answer with reasonable length (not too short or too long).,There are 3 chairs visible in the image.,There are two chairs visible in the image.,visual challenge
https://midjourney-image.s3.amazonaws.com/13b46a76-34ad-4357-bae0-f453311bcc48.png,What's the color of the eyes of the creature? Answer with reasonable length (not too short or too long).,The color of its eyes is green.,The creature in the image has green eyes.,visual challenge
https://midjourney-image.s3.amazonaws.com/228bac8d-f779-484c-a3ad-ca79319c4306.png,What color is the woman's lipstick? Answer with reasonable length (not too short or too long).,Her lipstick is red.,The woman's lipstick is red.,visual challenge
https://midjourney-image.s3.amazonaws.com/200fb944-d2ef-47ce-9395-e05eacc5898e+11.49.40+PM.png,What type of weapon is the man carrying? Answer with reasonable length (not too short or too long).,"The man is carrying a sword, most likely a katana.","The man is carrying a katana, which is a type of sword.",visual challenge
https://midjourney-image.s3.amazonaws.com/4603c358-c635-47fc-be48-c0570ffee9ea.png,How many people are in the image? Answer with reasonable length (not too short or too long).,There are 5 people in the image,"There are several people in the image, including a woman in armor and a group of men.",visual challenge
https://midjourney-image.s3.amazonaws.com/4d941e86-36d0-4421-a7c6-9233c2785364.png,What color is the eye of the biggest fish? Answer with reasonable length (not too short or too long).,The eye color of the bigger fish is yellow.,The eye of the biggest fish is black.,visual challenge
https://midjourney-image.s3.amazonaws.com/334672905_910779546922838_3497133943083041239_n.jpg,How many eyes are visible in the image? Answer with reasonable length (not too short or too long).,There are 3 eyes visible in the image.,There are two eyes visible in the image.,visual challenge
https://midjourney-image.s3.amazonaws.com/328804604_198308002869982_8271890839315609108_n.jpg,How many ears are visible in the image? Answer with reasonable length (not too short or too long).,There are 2 ears visible in the image.,There are two ears visible in the image.,visual challenge
https://midjourney-image.s3.amazonaws.com/4lc4z4r_Point_of_view_of_a_student_sitting_at_the_back_of_a_Sma_a8aa34a7-5add-4062-9edb-61340a0cd5e2.png,Is the door in the middle of the image double or single? Answer with reasonable length (not too short or too long).,The door in the middle of the image is double.,The door in the middle of the image is double.,visual challenge
https://midjourney-image.s3.amazonaws.com/57da9de4-01da-4a52-993a-f804bb358528.png,What kind of clothes is she wearing? Answer with reasonable length (not too short or too long).,The woman in the image is wearing a suit of armor.,"The woman in the image is wearing a suit of armor, which is a type of protective clothing worn by knights and warriors in the past. The armor is typically made of metal and is designed to provide protection from various types of attacks, such as swords, arrows, and other weapons. The armor in the image is detailed and ornate, suggesting that it may be a ceremonial or ceremonial piece rather than functional battle armor.",visual challenge
https://midjourney-image.s3.amazonaws.com/5964b0ce-69f3-442d-b6ad-3aac617b7f67.png,What is the main color of the tie? Answer with reasonable length (not too short or too long).,The main color of the tie is brown.,The main color of the tie is brown.,visual challenge
https://midjourney-image.s3.amazonaws.com/1456a147-1945-463c-aa69-dc1fe6809ac4.png,How many swords does he have? Answer with reasonable length (not too short or too long).,He has 4 swords.,"The character in the image is holding multiple swords, but the exact number cannot be determined without more specific information. It is clear that there are several swords visible, but the exact count cannot be provided without more details.",visual challenge
https://midjourney-image.s3.amazonaws.com/370d2aae-1d14-4eeb-b729-54f8f7aa918e.png,What is the color of the woman's eyes? Answer with reasonable length (not too short or too long).,The woman's eyes color is green,The woman in the image has blue eyes.,visual challenge
https://midjourney-image.s3.amazonaws.com/326785046_860360628556036_2641874552724577899_n.jpg,How many horns does the animal in the image have? Answer with reasonable length (not too short or too long).,"The animal has 4 horns, 2 large and 2 small.",The animal in the image has two horns.,visual challenge
https://midjourney-image.s3.amazonaws.com/514597c5-2514-45e1-8d8d-a318901975aa.png,How many feet are visible in the picture? Answer with reasonable length (not too short or too long).,There are two visible feet in the picture.,There are two feet visible in the picture.,visual challenge
https://midjourney-image.s3.amazonaws.com/18085492-319f-4d8c-b139-22ce8cb1e960.png,What color are the figure's shoelaces? Answer with reasonable length (not too short or too long).,The shoelaces are pink.,The figure's shoelaces are pink.,visual challenge
https://midjourney-image.s3.amazonaws.com/329305193_711745860323684_1764151233993755412_n.jpg,What color is the stone at the tip of the sword? Answer with reasonable length (not too short or too long).,Is color red.,The stone at the tip of the sword is red.,visual challenge
https://midjourney-image.s3.amazonaws.com/04fafbc8-9def-43fc-a8e4-3fd9d491dafb.png,How is the girl wearing her hair? Answer with reasonable length (not too short or too long).,She has her hair in a braid.,The girl in the image is wearing her hair in a ponytail.,visual challenge
https://midjourney-image.s3.amazonaws.com/333236691_888639599036437_161438467139796937_n.jpg,How many windows are shown on the cheese house? Answer with reasonable length (not too short or too long).,There are 7 windows shown on the cheese house.,There are four windows shown on the cheese house.,visual challenge
https://midjourney-image.s3.amazonaws.com/326825595_3416563878671254_7952369113458226931_n.jpg,How many bags is the child carrying? Answer with reasonable length (not too short or too long).,"The child is carrying two bags, one on their back and the other in their hand.",The child is carrying two bags.,visual challenge
https://midjourney-image.s3.amazonaws.com/56c5b9c4-2ea8-4958-b005-7dedb3be7ed9.png,How many buttons does the vest has? Answer with reasonable length (not too short or too long).,The vest has 5 visible buttons.,The vest in the image has three buttons.,visual challenge
https://midjourney-image.s3.amazonaws.com/090f53ae-f58f-4bf9-8bc0-581c05615229.png,What object is the woman standing on? Answer with reasonable length (not too short or too long).,The woman is standing on a towel.,Towel,visual challenge
https://midjourney-image.s3.amazonaws.com/327013599_585573892935278_4288462212191502555_n.jpg,How many people are in the image? Answer with reasonable length (not too short or too long).,There are six people.,There are four people in the image.,visual challenge
https://midjourney-image.s3.amazonaws.com/4lc4z4r_Point_of_view_of_a_student_sitting_at_the_back_of_a_Sma_954159f0-53ae-498a-8ac4-bd9c763a572a.png,How many lights are there in the room? Answer with reasonable length (not too short or too long).,There is one light in the room.,There are two lights in the room.,visual challenge
https://midjourney-image.s3.amazonaws.com/5c4641e8-9d93-44a1-8470-cd7b83a7c605.png,What is the farthest mountain covered with? Answer with reasonable length (not too short or too long).,The farthest mountain is covered in snow,The farthest mountain is covered with snow.,visual challenge
https://midjourney-image.s3.amazonaws.com/431e4613-5a05-4e7f-8fc3-976c5c54c9fc.png,Are the wolf's glowing eyes gold or silver? Answer with reasonable length (not too short or too long).,The wolf's glowing eyes are gold.,The wolf's glowing eyes are gold.,visual challenge
https://midjourney-image.s3.amazonaws.com/0e120dd6-a859-4e2e-bbd4-ba8f4a7b9a8f.png,How many tires are visible in the image? Answer with reasonable length (not too short or too long).,There are 2 tires visible in the image.,There are two tires visible in the image.,visual challenge
