image_url,question,gt_answer,model_answer,hallucination_type
https://midjourney-image.s3.amazonaws.com/cd805349-6a4a-415a-862f-3b600ec47290.png,Are the man's earring made out of gold or silver? Answer with reasonable length (not too short or too long).,There is no earings; we can not see any earings; the man does not wear any earings,The man's earring is made out of gold.,false premises
https://midjourney-image.s3.amazonaws.com/awei_Three_cats_wearing_human_tunics_playing_Tai_Chi_in_a_court_ab45c05f-6256-4583-ac25-b1d71b2767dc.png,What outfit color does the cat wearing glasses have? Answer with reasonable length (not too short or too long).,None of the cats on the image are wearing glasses,The cat wearing glasses is dressed in a pink outfit.,false premises
https://midjourney-image.s3.amazonaws.com/cc356dca-8593-4314-afd5-70008bfe4c0c.png,What color are the girl's earrings? Answer with reasonable length (not too short or too long).,The girl isn't wearing earrings; we can not see any earings; The girls earings are not visible,"The girl in the image is wearing earrings, but the specific color of the earrings is not clearly visible due to the complexity of the scene and the multitude of colors present.",insufficient context
https://midjourney-image.s3.amazonaws.com/bf2a1f0c-ce90-4b8d-b425-c5ac4910b7cf.png,How many animals are drinking from the pond? Answer with reasonable length (not too short or too long).,There are no animals drinking from the pond.,There are no animals drinking from the pond in the image. It is a digital artwork featuring a fantastical landscape with pink and white trees and a body of water.,false premises
https://midjourney-image.s3.amazonaws.com/af74a92f-8597-410e-b185-ad37fe1c1956.png,What type of bird is sitting on the elephant? Answer with reasonable length (not too short or too long).,There is not a bird sitting on the elephant; There is no bird; No bird is visible in the image,"There is no bird sitting on the elephant in the image. The image features a stylized, glowing elephant with a vibrant, colorful background.",false premises
https://midjourney-image.s3.amazonaws.com/a0a2f988-5a13-44ce-82bf-daf941a8da59.png,What does the patch on the astronauts suit say? Answer with reasonable length (not too short or too long).,There is no patch in the image; There is no text on the astronauts suit; No patch with a text,"The patch on the astronaut's suit reads ""NASA.""",false premises
https://midjourney-image.s3.amazonaws.com/YetiGoose_big_iguana_bully_who_thinks_he_is_the_toughest_in_the_7552af68-5872-4b96-bc41-38b60cb0f19e.png,What color is the boy's pants belt? Answer with reasonable length (not too short or too long).,The boy does not have a belt that is visible.,The boy's pants belt is brown.,false premises
https://midjourney-image.s3.amazonaws.com/a79fe442-6801-44c1-a16f-9c5355c2d506.png,What color is the lid to the lipstick? Answer with reasonable length (not too short or too long).,There is not a lid on the lipstick.,The lid to the lipstick is red.,false premises
https://midjourney-image.s3.amazonaws.com/c14c7239-51fc-4b9f-a0ed-b28b5aa55b18.png,What color is the splash on the woman's nose? Answer with reasonable length (not too short or too long).,There is no splash of color on the woman's nose.,The splash on the woman's nose is orange.,false premises
https://midjourney-image.s3.amazonaws.com/bc9c3787-0d12-4865-8182-a857c09ea5ae.png,What color is the woman's purse? Answer with reasonable length (not too short or too long).,There is no purse present in this image.,The woman in the image does not have a purse.,false premises
https://midjourney-image.s3.amazonaws.com/VB7_a_Astronaut_The_office_was_filled_with_clouds_reading_on_to_514597c5-2514-45e1-8d8d-a318901975aa.png,Is the sun on the left or right of the picture? Answer with reasonable length (not too short or too long).,The sun is not visible in the picture.,Left,insufficient context
https://midjourney-image.s3.amazonaws.com/bd426d1b-8903-4d24-9038-ccf188ac8760.png,Is the tree brown or orange? Answer with reasonable length (not too short or too long).,There is no tree in the image.,Brown,false premises
https://midjourney-image.s3.amazonaws.com/ab45c05f-6256-4583-ac25-b1d71b2767dc.png,What color is the black cat's robe? Answer with reasonable length (not too short or too long).,There is not a black cat in the picture.,The black cat's robe is blue.,false premises
https://midjourney-image.s3.amazonaws.com/_A_female_elementary_school_student_in_a_sci-fi_and_futuristic__cc356dca-8593-4314-afd5-70008bfe4c0c.png,What color is the girl's hat? Answer with reasonable length (not too short or too long).,The girl in the image is not wearing a hat.,The girl in the image does not have a hat.,false premises
https://midjourney-image.s3.amazonaws.com/a9851da8-309c-425a-8829-7dd80284aebc.png,Is the lizard's hat green or blue? Answer with reasonable length (not too short or too long).,The lizard is not wearing a hat.,The lizard's hat is blue.,false premises
